j,t,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
1010301804034,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1010301804049,2011,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1010301804051,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1010301804054,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1010301804069,2011,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1010301804085,2011,0,1,0,0,1,0,0,0,1,0,0,1,0,0
1010301804100,2011,0,0,0,0,2,0,0,0,0,0,1,0,0,1
1010301804115,2011,0,0,0,1,0,0,1,0,2,1,0,1,0,0
1010301804130,2011,0,1,0,0,1,1,0,0,1,1,1,0,1,0
1010301804145,2011,0,2,1,1,0,0,1,0,0,0,0,1,1,0
1010500204001,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1010500204025,2011,0,1,1,0,1,1,0,0,0,0,1,0,1,0
1010500204049,2011,0,1,0,1,0,1,0,0,0,1,0,0,1,0
1010500204073,2011,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1010500204097,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1010500204121,2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1010500204142,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1010500204145,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1010500204169,2011,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1010500204182,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1010500204193,2011,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1010500204217,2011,0,0,0,0,0,1,0,0,1,1,0,1,0,0
1010600402002,2011,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1010600402014,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1010600402021,2011,0,2,0,2,0,1,0,0,0,1,0,0,1,0
1010600402039,2011,0,0,1,0,1,0,0,0,1,1,0,1,0,0
1010600402057,2011,0,1,1,0,0,0,1,0,0,1,0,0,1,0
1010600402075,2011,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1010600402094,2011,0,1,1,0,0,1,0,0,0,0,0,0,1,0
1010600402112,2011,0,1,1,0,0,1,0,0,1,0,1,0,1,0
1010600402130,2011,0,0,1,1,0,0,1,0,0,0,1,0,1,0
1010600402148,2011,0,2,1,0,0,1,0,0,0,1,1,0,1,0
1010600402160,2011,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1010600402167,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1020100207002,2011,0,1,1,1,0,0,1,0,0,0,0,0,1,0
1020100207012,2011,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1020100207017,2011,0,2,0,0,0,1,0,0,0,0,0,1,0,0
1020100207027,2011,0,1,2,0,0,1,0,0,1,0,2,0,1,0
1020100207032,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1020100207047,2011,0,1,2,0,0,1,0,0,0,0,0,1,0,0
1020100207062,2011,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1020100207077,2011,0,0,0,0,2,0,0,0,0,0,0,0,1,0
1020100207092,2011,0,0,1,0,2,1,1,0,0,0,0,0,0,1
1020100207107,2011,0,1,2,2,1,0,1,0,0,0,0,0,0,1
1020100207122,2011,0,0,1,0,0,1,0,0,0,1,0,1,0,0
1020100207137,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1020200802002,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1020200802017,2011,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1020200802028,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1020200802033,2011,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1020200802048,2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1020200802063,2011,0,1,1,2,0,1,0,0,0,0,0,0,1,0
1020200802078,2011,0,2,1,0,1,1,1,0,0,0,1,0,1,0
1020200802108,2011,0,0,0,1,1,0,1,0,0,0,0,0,0,1
1020200802120,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1020200802124,2011,0,0,1,0,0,1,0,0,1,1,1,0,1,0
1020200802139,2011,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1020200802180,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1020301001002,2011,0,1,1,0,0,1,0,0,0,1,2,1,1,0
1020301001017,2011,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1020301001032,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1020301001047,2011,0,1,1,0,0,1,0,0,0,0,1,0,1,0
1020301001062,2011,0,0,1,1,2,1,1,0,0,1,0,2,1,0
1020301001080,2011,0,0,0,0,0,0,0,0,2,1,0,1,0,0
1020301001095,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1020301001097,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1020301001111,2011,0,1,1,1,1,0,1,0,0,0,1,0,1,0
1020301001128,2011,0,1,2,1,0,1,0,0,0,0,0,0,1,0
1020301001145,2011,0,1,1,0,2,1,0,0,1,0,2,1,1,0
1020301001152,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1020401702002,2011,0,0,0,0,0,1,0,0,1,1,0,1,0,0
1020401702005,2011,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1020401702018,2011,0,0,1,2,0,0,1,0,1,0,0,0,1,1
1020401702033,2011,0,1,1,1,2,0,1,0,0,1,0,0,1,0
1020401702048,2011,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1020401702063,2011,0,1,1,0,0,1,0,0,0,1,0,1,0,0
1020401702078,2011,0,0,0,1,1,0,1,0,0,0,1,1,1,0
1020401702093,2011,0,0,1,1,0,0,1,0,0,0,1,0,1,0
1020401702108,2011,0,0,0,0,1,0,1,0,0,1,1,0,0,1
1020401702123,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1020401702138,2011,0,0,0,0,1,0,1,0,0,0,1,1,0,1
1020401702149,2011,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1020601301002,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1020601301018,2011,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1020601301033,2011,0,0,1,0,0,0,1,0,0,1,1,0,1,0
1020601301050,2011,0,1,0,1,1,1,0,0,0,1,1,0,1,0
1020601301066,2011,0,0,0,0,0,0,0,0,0,0,2,0,0,1
1020601301081,2011,0,0,0,2,1,1,0,0,1,2,0,0,1,0
1020601301097,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1020601301112,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1020601301134,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1020601301136,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1020601301162,2011,0,1,1,0,0,1,1,0,0,0,0,0,1,1
1020601301180,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1020700101027,2011,0,0,2,0,0,0,0,0,1,1,0,0,1,0
1020700101057,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1020700101087,2011,0,1,0,0,1,1,0,0,0,0,0,1,0,0
1020700101117,2011,0,1,1,0,0,1,0,0,0,0,0,1,0,0
1020700101147,2011,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1020700101177,2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1020700101207,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1020700101237,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1020700101267,2011,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1020700101297,2011,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1020700101327,2011,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1020700101357,2011,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1020800603004,2011,0,0,0,1,2,0,1,0,0,0,1,1,0,1
1020800603019,2011,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1020800603029,2011,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1020800603034,2011,0,1,0,0,0,1,0,0,1,1,0,1,0,0
1020800603049,2011,0,0,1,2,0,1,0,0,2,1,0,0,1,0
1020800603064,2011,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1020800603079,2011,0,1,2,1,0,1,0,0,0,0,0,0,1,0
1020800603094,2011,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1020800603109,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1020800603124,2011,0,1,0,0,2,0,0,0,0,0,0,0,0,2
1020800603140,2011,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1020800603180,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1020900602006,2011,0,0,0,1,1,0,1,0,0,1,1,0,1,0
1020900602024,2011,0,1,1,0,0,1,0,0,0,0,0,1,0,0
1020900602043,2011,0,1,1,0,0,0,1,0,0,0,0,0,1,0
1020900602063,2011,0,1,1,0,0,0,1,0,0,1,1,0,1,0
1020900602083,2011,0,2,0,1,0,1,0,0,0,3,0,0,1,0
1020900602091,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1020900602104,2011,0,2,0,1,0,0,1,0,0,1,0,0,1,0
1020900602123,2011,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1020900602142,2011,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1020900602162,2011,0,0,1,0,2,0,0,0,0,0,2,0,0,1
1020900602172,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1020900602182,2011,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1030100204003,2011,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1030100204012,2011,0,1,0,1,0,1,0,0,0,2,0,0,1,0
1030100204013,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1030100204023,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1030100204032,2011,0,0,0,0,0,0,0,0,1,2,1,0,1,0
1030100204047,2011,0,2,0,0,1,0,0,0,0,0,0,1,0,0
1030100204091,2011,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1030100204106,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1030100204129,2011,0,1,1,0,0,1,0,0,0,0,0,1,0,0
1030100204139,2011,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1030100204148,2011,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1030100204157,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1030300605002,2011,0,0,1,0,1,0,1,0,0,1,0,0,0,1
1030300605014,2011,0,0,2,1,0,0,1,0,1,0,0,0,1,0
1030300605027,2011,0,2,0,0,0,0,1,0,0,0,0,1,0,1
1030300605036,2011,0,1,1,0,0,0,0,0,0,1,0,0,1,0
1030300605040,2011,0,1,1,2,0,0,1,0,1,0,0,1,1,0
1030300605052,2011,0,0,0,1,0,1,0,0,1,1,1,2,1,0
1030300605066,2011,0,0,1,1,2,0,1,0,0,0,2,0,1,0
1030300605078,2011,0,1,1,0,3,2,1,0,0,0,0,0,1,1
1030300605100,2011,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1030300605107,2011,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1030300605119,2011,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1030300605131,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1030400101001,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1030400101014,2011,0,1,0,2,0,1,0,0,0,1,0,0,1,0
1030400101027,2011,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1030400101040,2011,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1030400101054,2011,0,0,0,1,0,0,1,0,0,0,0,1,0,1
1030400101067,2011,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1030400101077,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1030400101085,2011,0,0,2,0,0,0,0,0,1,0,0,1,0,0
1030400101104,2011,0,0,0,0,0,0,0,0,1,2,1,0,1,0
1030400101115,2011,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1030400101120,2011,0,2,0,0,0,1,0,0,0,0,0,0,1,1
1030400101135,2011,0,0,0,2,0,1,0,0,0,0,0,0,1,0
1030501202001,2011,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1030501202022,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1030501202036,2011,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1030501202043,2011,0,0,1,0,0,1,0,0,1,1,1,0,1,0
1030501202059,2011,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1030501202065,2011,0,1,0,0,0,0,2,0,0,1,2,0,1,0
1030501202086,2011,0,1,0,0,0,1,0,0,1,3,0,0,1,0
1030501202107,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1030501202130,2011,0,1,2,0,0,0,1,0,0,0,2,1,1,0
1030501202137,2011,0,0,1,1,0,0,0,0,1,0,0,0,0,0
1030501202152,2011,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1030501202174,2011,0,0,2,0,1,0,1,0,1,0,1,0,1,0
1030600608001,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1030600608021,2011,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1030600608036,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1030600608043,2011,0,1,0,2,1,0,0,0,0,1,0,0,1,0
1030600608062,2011,0,2,0,0,0,1,0,0,0,1,0,1,0,0
1030600608088,2011,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1030600608112,2011,0,0,1,0,0,1,0,0,0,0,2,0,1,0
1030600608122,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1030600608133,2011,0,0,2,1,1,0,1,0,0,0,0,1,0,1
1030600608152,2011,0,0,1,1,0,0,0,0,1,0,1,0,1,0
1030600608174,2011,0,0,0,1,1,0,1,0,0,0,0,0,1,0
1030600608196,2011,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1030700116004,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1030700116016,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1030700116028,2011,0,0,1,1,1,0,0,0,0,0,0,0,1,0
1030700116040,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1030700116052,2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1030700116064,2011,0,0,0,0,0,0,0,0,1,0,1,1,1,0
1030700116076,2011,0,0,0,2,0,0,0,0,0,0,1,0,1,0
1030700116088,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1030700116100,2011,0,2,0,0,0,1,0,0,0,0,0,1,0,0
1030700116112,2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1030700116124,2011,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1030700116136,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1030700709006,2011,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1030700709025,2011,0,0,0,1,0,1,0,0,1,1,0,0,1,0
1030700709043,2011,0,1,1,1,0,0,1,0,0,2,0,0,1,0
1030700709061,2011,0,0,0,2,0,0,0,0,0,0,0,0,1,0
1030700709079,2011,0,0,1,0,0,0,1,0,0,1,1,0,1,0
1030700709097,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1030700709115,2011,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1030700709133,2011,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1030700709151,2011,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1030700709166,2011,0,1,0,0,0,1,0,0,0,1,0,1,0,0
1030700709167,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1030700709171,2011,0,1,0,0,1,0,1,0,1,0,0,0,0,1
1040101204003,2011,0,1,1,0,1,1,0,0,1,0,1,0,1,0
1040101204009,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1040101204022,2011,0,0,0,1,1,0,1,0,0,0,1,0,0,1
1040101204041,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1040101204045,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1040101204063,2011,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1040101204081,2011,0,2,1,0,1,0,1,0,0,0,1,0,1,0
1040101204099,2011,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1040101204118,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1040101204136,2011,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1040101204154,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1040101204172,2011,0,1,0,0,1,0,1,0,0,1,1,0,1,0
1040300109011,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1040300109023,2011,0,0,1,0,4,0,1,0,0,1,1,0,1,0
1040300109035,2011,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1040300109047,2011,0,0,0,0,0,0,1,0,1,1,1,0,1,0
1040300109059,2011,0,0,0,2,1,0,0,0,0,0,0,1,0,1
1040300109071,2011,0,0,0,1,0,0,0,0,1,0,0,0,1,1
1040300109083,2011,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1040300109095,2011,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1040300109107,2011,0,0,1,0,0,0,0,0,0,1,2,2,1,1
1040300109119,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1040300109131,2011,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1040300109143,2011,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1040300404002,2011,0,0,0,1,1,0,0,0,0,1,1,0,1,0
1040300404014,2011,0,0,1,1,0,1,0,0,1,0,1,1,1,0
1040300404027,2011,0,0,0,0,1,0,1,0,0,0,0,1,0,1
1040300404040,2011,0,0,1,0,1,0,1,0,0,0,2,1,1,0
1040300404053,2011,0,1,1,0,0,0,1,0,0,1,0,0,1,0
1040300404065,2011,0,0,1,0,1,0,1,0,0,0,1,0,0,1
1040300404074,2011,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1040300404079,2011,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1040300404093,2011,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1040300404106,2011,0,0,1,0,0,1,0,0,1,1,0,1,0,0
1040300404118,2011,0,0,0,0,0,1,0,0,1,2,1,0,1,0
1040300404143,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1040400103001,2011,0,1,1,0,0,1,0,0,0,1,0,1,0,0
1040400103011,2011,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1040400103016,2011,0,0,1,0,0,1,0,0,1,1,0,0,1,0
1040400103031,2011,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1040400103046,2011,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1040400103047,2011,0,1,1,1,0,0,1,0,0,0,1,0,1,0
1040400103062,2011,0,0,0,0,0,1,0,0,1,1,1,1,0,0
1040400103077,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1040400103092,2011,0,1,1,1,0,0,0,0,0,0,0,0,1,0
1040400103107,2011,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1040400103122,2011,0,0,0,0,0,0,0,0,0,2,0,0,1,0
1040400103137,2011,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1040500701004,2011,0,0,0,0,0,1,0,0,1,1,0,1,1,0
1040500701025,2011,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1040500701046,2011,0,0,0,0,0,1,0,0,1,1,0,2,0,0
1040500701062,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1040500701070,2011,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1040500701092,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1040500701114,2011,0,1,1,1,0,0,1,0,0,0,1,0,1,0
1040500701135,2011,0,0,1,1,1,0,1,0,0,0,1,1,1,0
1040500701141,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1040500701158,2011,0,1,1,0,0,1,0,0,0,0,0,1,0,0
1040500701179,2011,0,0,0,0,0,1,0,0,0,1,1,0,1,0
1040500701200,2011,0,0,0,0,0,1,0,0,1,1,0,0,1,0
1040600803003,2011,0,0,0,0,2,0,1,0,0,2,1,0,1,0
1040600803020,2011,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1040600803033,2011,0,1,1,0,0,1,0,0,1,0,1,0,1,1
1040600803055,2011,0,0,0,0,2,1,0,0,0,0,0,1,0,0
1040600803060,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1040600803074,2011,0,0,1,0,1,1,0,0,1,1,1,0,1,0
1040600803117,2011,0,1,0,0,1,0,0,0,0,1,0,1,1,0
1040600803137,2011,0,1,2,0,0,1,1,0,0,0,0,0,1,0
1040600803155,2011,0,1,0,1,0,0,0,0,0,1,0,0,1,0
1040600803183,2011,0,0,0,1,0,0,0,0,0,1,2,0,1,0
1040600803197,2011,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1040600803207,2011,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1040800402002,2011,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1040800402020,2011,0,1,2,0,0,1,0,0,0,0,0,1,0,1
1040800402039,2011,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1040800402054,2011,0,0,2,1,0,0,0,0,1,0,0,0,1,1
1040800402055,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1040800402080,2011,0,1,0,0,0,1,0,0,1,1,1,0,1,0
1040800402098,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1040800402116,2011,0,0,0,1,0,0,1,0,0,0,0,1,0,1
1040800402135,2011,0,1,0,0,0,1,0,0,0,2,1,0,1,0
1040800402155,2011,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1040800402167,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1040800402173,2011,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1050100105005,2011,0,0,0,0,3,1,0,0,2,0,0,2,0,0
1050100105031,2011,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1050100105037,2011,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1050100105053,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1050100105075,2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1050100105077,2011,0,0,1,0,0,0,1,0,0,2,0,1,0,0
1050100105091,2011,0,0,1,1,0,0,1,0,0,0,0,4,0,1
1050100105110,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1050100105136,2011,0,1,0,0,1,0,0,0,1,0,0,1,0,0
1050100105153,2011,0,0,0,0,0,1,0,0,1,1,0,1,0,0
1050100105174,2011,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1050100105200,2011,0,1,1,0,0,1,0,0,0,0,0,0,1,0
1050200201004,2011,0,0,0,0,0,0,0,0,1,1,0,0,1,0
1050200201022,2011,0,1,0,1,1,0,0,0,0,1,0,0,1,0
1050200201027,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1050200201041,2011,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1050200201057,2011,0,0,1,1,0,0,0,0,1,0,0,1,0,0
1050200201078,2011,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1050200201099,2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1050200201120,2011,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1050200201142,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1050200201163,2011,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1050200201184,2011,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1050200201205,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1050200712002,2011,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1050200712020,2011,0,0,0,0,0,1,0,0,1,1,0,1,0,0
1050200712035,2011,0,0,0,1,0,1,0,0,0,0,1,1,0,0
1050200712040,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1050200712054,2011,0,0,0,0,0,1,0,0,1,1,1,1,0,0
1050200712064,2011,0,1,0,1,0,1,0,0,0,0,0,1,0,0
1050200712073,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1050200712082,2011,0,0,1,2,0,1,0,0,1,1,0,0,1,0
1050200712091,2011,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1050200712100,2011,0,0,1,1,2,0,1,0,0,0,2,0,0,0
1050200712110,2011,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1050200712138,2011,0,2,0,0,0,0,0,0,0,0,0,1,0,0
1050201503002,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
